X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
62.22995,143.651000026168,Layer 1,,,,,
62.3711,144.0745,Layer 1,,,,,
62.5122,144.498000026168,Layer 1,,,,,
62.6533,144.78,Layer 1,,,,,
62.7944,145.062000026168,Layer 1,,,,,
62.9355,145.3445,Layer 1,,,,,
63.0766,145.627000026168,Layer 1,,,,,
63.2177,145.909,Layer 1,,,,,
63.3588,146.191000026168,Layer 1,,,,,
63.4999,146.4735,Layer 1,,,,,
63.64105,146.756000026168,Layer 1,,,,,
63.7822,146.897,Layer 1,,,,,
63.9233,147.038000026168,Layer 1,,,,,
64.0644,147.32,Layer 1,,,,,
64.2055,147.602000026168,Layer 1,,,,,
64.3466,147.7435,Layer 1,,,,,
64.4877,147.885000026168,Layer 1,,,,,
64.6288,148.167,Layer 1,,,,,
64.76995,148.449000026168,Layer 1,,,,,
64.9111,148.59,Layer 1,,,,,
65.0522,148.731000026168,Layer 1,,,,,
65.1933,148.8725,Layer 1,,,,,
65.3344,149.014000026168,Layer 1,,,,,
65.4755,149.296,Layer 1,,,,,
65.6166,149.578000026168,Layer 1,,,,,
65.7577,149.719,Layer 1,,,,,
65.8988,149.860000026168,Layer 1,,,,,
66.0399,150.001,Layer 1,,,,,
66.18105,150.142000026168,Layer 1,,,,,
66.3222,150.4245,Layer 1,,,,,
66.4633,150.707000026168,Layer 1,,,,,
66.6044,150.848,Layer 1,,,,,
66.7455,150.989000026168,Layer 1,,,,,
66.8866,151.13,Layer 1,,,,,
67.0277,151.271000026168,Layer 1,,,,,
67.1688,151.5535,Layer 1,,,,,
67.30995,151.836000026168,Layer 1,,,,,
67.4511,151.977,Layer 1,,,,,
67.5922,152.118000026168,Layer 1,,,,,
67.7333,152.259,Layer 1,,,,,
67.8744,152.400000026168,Layer 1,,,,,
68.0155,152.541,Layer 1,,,,,
68.1566,152.682000026168,Layer 1,,,,,
68.2977,152.9645,Layer 1,,,,,
68.4388,153.247000026168,Layer 1,,,,,
68.5799,153.388,Layer 1,,,,,
68.72105,153.529000026168,Layer 1,,,,,
68.8622,153.67,Layer 1,,,,,
69.0033,153.811000026168,Layer 1,,,,,
69.1444,154.0935,Layer 1,,,,,
69.2855,154.376000026168,Layer 1,,,,,
69.4266,154.517,Layer 1,,,,,
69.5677,154.658000026168,Layer 1,,,,,
69.7088,154.799,Layer 1,,,,,
69.84995,154.940000026168,Layer 1,,,,,
69.9911,155.081,Layer 1,,,,,
70.1322,155.222000026168,Layer 1,,,,,
70.2733,155.5045,Layer 1,,,,,
70.4144,155.787000026168,Layer 1,,,,,
70.5555,155.928,Layer 1,,,,,
70.6966,156.069000026168,Layer 1,,,,,
70.8377,156.21,Layer 1,,,,,
70.9788,156.351000026168,Layer 1,,,,,
71.1199,156.6335,Layer 1,,,,,
71.26105,156.916000026168,Layer 1,,,,,
71.4022,157.057,Layer 1,,,,,
71.5433,157.198000026168,Layer 1,,,,,
71.6844,157.339,Layer 1,,,,,
71.8255,157.480000026168,Layer 1,,,,,
72.1077,157.621,Layer 1,,,,,
86.0777,150.2835,Layer 1,,,,,
86.64215,150.425000026168,Layer 1,,,,,
87.2066,150.566,Layer 1,,,,,
87.4888,150.707000026168,Layer 1,,,,,
87.771,150.848,Layer 1,,,,,
87.771,150.5655,Layer 1,,,,,
87.91215,150.142000026168,Layer 1,,,,,
88.0533,149.86,Layer 1,,,,,
88.1944,149.578000026168,Layer 1,,,,,
88.1944,149.578000026168,Layer 1,,,,,
88.0533,149.437,Layer 1,,,,,
87.91215,149.296000026168,Layer 1,,,,,
87.771,149.155,Layer 1,,,,,
87.6299,149.014000026168,Layer 1,,,,,
87.4888,148.7315,Layer 1,,,,,
87.6299,148.449000026168,Layer 1,,,,,
87.771,148.308,Layer 1,,,,,
87.91215,148.167000026168,Layer 1,,,,,
88.0533,148.026,Layer 1,,,,,
88.1944,147.885000026168,Layer 1,,,,,
88.3355,147.7435,Layer 1,,,,,
88.4766,147.602000026168,Layer 1,,,,,
88.6177,147.461,Layer 1,,,,,
88.7588,147.320000026168,Layer 1,,,,,
88.8999,147.179,Layer 1,,,,,
89.04105,147.038000026168,Layer 1,,,,,
89.1822,146.756,Layer 1,,,,,
89.3233,146.474000026168,Layer 1,,,,,
89.4644,146.3325,Layer 1,,,,,
89.6055,146.191000026168,Layer 1,,,,,
89.7466,146.05,Layer 1,,,,,
89.8877,145.909000026168,Layer 1,,,,,
90.0288,145.768,Layer 1,,,,,
90.1699,145.627000026168,Layer 1,,,,,
90.311,145.486,Layer 1,,,,,
90.45215,145.345000026168,Layer 1,,,,,
90.5933,145.2035,Layer 1,,,,,
90.7344,145.062000026168,Layer 1,,,,,
90.8755,144.921,Layer 1,,,,,
91.0166,144.780000026168,Layer 1,,,,,
91.1577,144.639,Layer 1,,,,,
91.2988,144.498000026168,Layer 1,,,,,
91.4399,144.357,Layer 1,,,,,
92.14545,144.216000026168,Layer 1,,,,,
92.851,144.075,Layer 1,,,,,
92.99215,143.934000026168,Layer 1,,,,,
93.1333,143.7925,Layer 1,,,,,
93.2744,143.651000026168,Layer 1,,,,,
93.4155,143.51,Layer 1,,,,,
93.5566,143.369000026168,Layer 1,,,,,
93.5566,143.369000026168,Layer 1,,,,,
93.4155,143.228,Layer 1,,,,,
93.2744,143.087000026168,Layer 1,,,,,
93.1333,142.946,Layer 1,,,,,
92.99215,142.805000026168,Layer 1,,,,,
92.851,142.5225,Layer 1,,,,,
92.7099,142.240000026168,Layer 1,,,,,
92.5688,142.099,Layer 1,,,,,
92.4277,141.958000026168,Layer 1,,,,,
92.2866,141.817,Layer 1,,,,,
92.1455,141.676000026168,Layer 1,,,,,
92.0044,141.3935,Layer 1,,,,,
91.86325,141.111000026168,Layer 1,,,,,
91.7221,140.97,Layer 1,,,,,
91.581,140.829000026168,Layer 1,,,,,
91.4399,140.688,Layer 1,,,,,
91.2988,140.547000026168,Layer 1,,,,,
91.1577,140.2645,Layer 1,,,,,
91.0166,139.982000026168,Layer 1,,,,,
90.8755,139.841,Layer 1,,,,,
90.7344,139.700000026168,Layer 1,,,,,
90.5933,139.559,Layer 1,,,,,
90.45215,139.418000026168,Layer 1,,,,,
90.311,139.136,Layer 1,,,,,
90.1699,138.854000026168,Layer 1,,,,,
90.0288,138.2895,Layer 1,,,,,
90.1699,137.725000026168,Layer 1,,,,,
90.311,137.5835,Layer 1,,,,,
90.45215,137.442000026168,Layer 1,,,,,
90.5933,137.301,Layer 1,,,,,
